publisher,ID_Nicolas,product_url,title,title 1,title 1 1,title1.0,title1.0 2,title 2,title2,N_volume,product_id,n_reprint,price_full,price_actual,release_date,author,Disegnatore,pages,size,size 2,contents,binding,colors,isbn,genere,description,img_file,details_volume
jpop,,https://www.j-pop.it/barbara/5310-barbara-001.html,Barbara 001,Barbara,Barbara,Barbara 001,,1,barbara001,1,5310,1,12.50,12.50,,Moto Hagio,,0,,,,,,9788834900543,"Shojo, Classici, Moto Hagio, Onirico","“Barbara”, un nome misterioso che sconvolge le vite di coloro che lo sentono. È un’isola magica, dove i bambini possono volare? O un segreto legato a un omicidio raccapricciante? La sua origine affonda nella tragedia di Aoba, trovata addormentata tra i cadaveri dei suoi genitori, i resti dei cuori di entrambi nello stomaco. Mentre la bambina, incapace di risvegliarsi, sembra in grado di dare forma alle sue fantasie con esiti letali, intorno a lei tramano eccentrici scienziati, presenze enigmatiche e oniropiloti stregati dal suo potere.",https://www.j-pop.it/5204-thickbox_default/barbara-001.jpg,
jpop,,https://www.j-pop.it/tokyo-after-hours/5309-tokyo-after-hours-box-1-3.html,Tokyo After Hours - BOX (1-3),Tokyo After Hours - BOX (1-3),Tokyo After Hours ,Tokyo After Hours ,,,tokyoafterhours-box(1-3),,5309,1,20.70,20.70,,Yutha Nishio,,0,,,,,,9788834901649,"Drama, Yuri, musica","Rapite dalla musica e dalla personalità l'una dell'altra, Emi e Kei si lanciano insieme nella notte di Tokyo per sperimentare nuove emozioni...",https://www.j-pop.it/5203-thickbox_default/tokyo-after-hours-box-1-3.jpg,BOX (1-3)
jpop,,https://www.j-pop.it/the-proper-way-to-write-love/5308-the-proper-way-to-write-love.html,The Proper Way to Write Love,The Proper Way to Write Love,The Proper Way to Write Love,The Proper Way to Write Love,,,theproperwaytowritelove,,5308,1,6.90,6.90,,Ogeretsu Tanaka,,220,,,,,,9788834903551,yaoi,"Ogeretsu Tanaka continua a esplorare le mille sfaccettature dell’amore con personaggi conosciuti e nuovi incontri, alternando momenti di felicita e disperazione, tenerezza e violenza, relazioni passate, relazioni che nascono, relazioni che si evolvono… il tutto con il suo stile di disegno meraviglioso e inconfondibile, e un’alta carica erotica!",https://www.j-pop.it/5202-thickbox_default/the-proper-way-to-write-love.jpg,
jpop,,https://www.j-pop.it/danmachi-sword-oratoria/5307-danmachi-sword-oratoria-012.html,Danmachi Sword Oratoria 012,Danmachi Sword Oratoria,Danmachi Sword Oratoria,Danmachi Sword Oratoria,,12,danmachiswordoratoria012,12,5307,1,5.90,5.90,,Fujino Omori,Takashi Yagi,0,,,,,,9788834901410,"Fantasy, Shonen, Danmachi","Lefiya perde infine la pazienza per le continue coincidenze sconce che vedono Bell protagonista. Cercando di fuggire alle sue ire, il ragazzo si ritrova smarrito insieme all’elfa inseguitrice, nella grande foresta al diciottesimo piano del dungeon. Mentre cercano la via del ritorno, i due si imbattono per caso in alcuni membri dell’Evilus, la mente dietro i nefasti eventi accaduti di recente. Riusciranno Lefiya e Bell, ora di Livello 2, a cavarsela senza poter contare sull’aiuto di Ais e Finn?",https://www.j-pop.it/5201-thickbox_default/danmachi-sword-oratoria-012.jpg,
jpop,,https://www.j-pop.it/so-i-m-a-spider-so-what/5306-so-i-m-a-spider-so-what-001.html,"So I'm a Spider, So What? 001","So I'm a Spider, So What?","So I'm a Spider, So What?","So I'm a Spider, So What?",,1,"soi'maspider,sowhat?001",1,5306,1,6.50,6.50,,Okina Baba,,188,,,,,,9788834903346,"Fantasy, Avventura, Azione, Shonen, Isekai","Con la prima tiratura, in omaggio una variant cover glow-in-the-dark e l'esclusivo segnalibro!",https://www.j-pop.it/5196-thickbox_default/so-i-m-a-spider-so-what-001.jpg,
jpop,,https://www.j-pop.it/so-i-m-a-spider-so-what/5305-va-tutto-bene-even-if-i-can-t-use-magic.html,Va Tutto Bene - Even if I Can't Use Magic,Va Tutto Bene - Even if I Can't Use Magic,Va Tutto Bene - Even if I Can't Use Magic,Va Tutto Bene - Even if I Can't Use Magic,,,vatuttobene-evenifican'tusemagic,,5305,1,9.90,9.90,,Kanna Kii,,224,,,,,,9788834900727,"Seinen, Slice of Life","Un ragazzo che di punto in bianco lascia il suo lavoro in uno studio di animazione, un gatto animato da una volontà insondabile, due ragazze in gita scolastica che finiscono a un concerto di Idol… Al centro della lente della fumettista ci sono le giornate di un gruppo di amici e di altre persone (e strani animali) che ne incrociano la strada, raccontate con uno stile slice of life surreale e un po’ di magia.",https://www.j-pop.it/5191-thickbox_default/va-tutto-bene-even-if-i-can-t-use-magic.jpg,
jpop,,https://www.j-pop.it/gon/5304-gon-001.html,Gon 001,Gon,Gon,Gon,,1,gon001,1,5304,1,12.00,12.00,,Masashi Tanaka,,0,,,,,,9788834902356,"Avventura, Dinosauri","Nato nel 1991 (o milioni di anni fa), Gon è diventato in poco tempo uno dei personaggi più riconoscibili dei media grazie all'universalità e alle tematiche ambientaliste della sua serie manga: storie mute e godibili da tutti in cui il testardo dinosauro giallo imperversa in un mondo in cui gli umani non sono ancora comparsi, cacciando, giocando ed esplorando. Tre volumi di formato deluxe in cui i dettagliatissimi disegni di Masashi Tanaka possono brillare come meritano.",https://www.j-pop.it/5189-thickbox_default/gon-001.jpg,
jpop,,https://www.j-pop.it/hell-s-paradise-jigokuraku/5303-hell-s-paradise-jigokuraku-005.html,Hell's Paradise - Jigokuraku 005,Hell's Paradise - Jigokuraku,Hell's Paradise - Jigokuraku,Hell's Paradise - Jigokuraku,,5,hell'sparadise-jigokuraku005,5,5303,1,5.90,5.90,,Yuji Kaku,,0,,,,,,9788834903346,"Fantasy, Shonen, Horror, Action","Dopo aver perso di vista Gabimaru duranta la missione, il gruppo di Sagiri e Yuzuriha prosegue la ricerca dell’elisir e giunge nell’Horai. Ad aspettarli, però, troveranno il tensen Mu Dan. Come faranno Sagiri e gli altri ad affrontare un essere immortale che padroneggia l’imperscrutabile energia del tao?",https://www.j-pop.it/5186-thickbox_default/hell-s-paradise-jigokuraku-005.jpg,
jpop,,https://www.j-pop.it/world-s-end-harem/5302-world-s-end-harem-007.html,World's End Harem 007,World's End Harem,World's End Harem,World's End Harem,,7,world'sendharem007,7,5302,1,6.50,6.50,,Link,Kotaro Shono,0,,,,,,9788834903391,"Seinen, Ecchi, sci-fi","Mentre i complessi d’inferiorità di Shota cominciano a dissiparsi, l’istituto viene colpito da un attentato. Nel frattempo, Reito riceve una scioccante notizia in merito al quarto uomo risvegliato. Il piano segreto di Chloe e del quartier generale UW, intanto, comincia finalmente a venire a galla...",https://www.j-pop.it/5185-thickbox_default/world-s-end-harem-007.jpg,
jpop,,https://www.j-pop.it/kingdom/5301-kingdom-41.html,Kingdom 41,Kingdom,Kingdom,Kingdom,,,kingdom41,41,5301,1,6.90,6.90,,Yasuhisa Hara,,0,,,,,,9788834902783,"Avventura, Seinen, Storico","La guerra di Heiyang si fa sempre più dura e Huan Qi e Quing She, i due comandanti supremi, provano a vincerla con le loro complesse strategie. Nel frattempo, sul campo di battaglia, la compagnia Fei Xin sarà impegnata in una missione che tutti considerano impossibile da portare a termine…",https://www.j-pop.it/5184-thickbox_default/kingdom-41.jpg,
jpop,,https://www.j-pop.it/getter-robot-devolution-the-last-3-minutes-of-the-universe/5300-getter-robot-devolution-the-last-3-minutes-of-the-universe-005.html,Getter Robot Devolution - The Last 3 Minutes of the Universe 005,Getter Robot Devolution - The Last 3 Minutes of the Universe,Getter Robot Devolution - The Last 3 Minutes of the Universe,Getter Robot Devolution - The Last 3 Minutes of the Universe,,5,getterrobotdevolution-thelast3minutesoftheuniverse005,5,5300,1,5.90,5.90,,"Go Nagai, Ken Ishikawa",,0,,,,,,9788834902707,"Fantascienza, Go Nagai, Action","Quando la Terra viene attaccata da esseri provenienti da una distorsione spaziale, il dottor Saotome recluta tre eroi connessi dai misteriosi raggi Getter: solo loro potranno controllare il potente robot che si rivela l’ultima speranza per l’umanità, in una lotta senza quartiere in cui gli schieramenti si fanno confusi. Anche Saotome, infatti, nasconde segreti collegati ad altri mondi... ",https://www.j-pop.it/5183-thickbox_default/getter-robot-devolution-the-last-3-minutes-of-the-universe-005.jpg,
